course_id,course_name,credits,format,course_level,prerequisites,seats_available,department_id
66,Transition Intuitive Methodologies,2,Online,Graduate,often,78,30
67,Empower Compelling Infrastructures,3,Online,Graduate,section,43,113
68,Synthesize Collaborative Users,1,In-Person,Undergraduate,board,89,28
69,Morph Proactive Architectures,4,Online,Undergraduate,he,11,148
70,Optimize Plug-And-Play Interfaces,5,Online,Undergraduate,difference,77,101
71,Transition Front-End Niches,4,Hybrid,Graduate,here,47,118
72,Optimize Back-End E-Services,5,In-Person,Undergraduate,fast,36,11
73,Repurpose Virtual Bandwidth,3,Online,Graduate,law,88,137
74,Embrace Cross-Platform Applications,1,Hybrid,Graduate,production,25,145
75,Leverage Global E-Markets,5,Hybrid,Graduate,show,32,56
76,Deliver Rich Infrastructures,2,Hybrid,Graduate,manager,88,52
77,Utilize Sticky Niches,2,In-Person,Graduate,tend,42,78
78,Unleash Clicks-And-Mortar Technologies,3,In-Person,Undergraduate,college,92,66
79,Seize Magnetic Methodologies,3,Hybrid,Undergraduate,five,11,85
80,Optimize Value-Added Mindshare,4,Online,Graduate,so,70,55
81,Visualize Wireless Relationships,4,Hybrid,Graduate,effort,52,67
82,Envisioneer Strategic Infrastructures,2,Hybrid,Undergraduate,leave,39,67
83,Engineer Transparent Roi,1,Hybrid,Graduate,commercial,61,38
84,Reinvent B2C Architectures,4,In-Person,Graduate,rock,44,141
85,Cultivate E-Business Functionalities,3,Hybrid,Undergraduate,close,53,77
86,Deploy Out-Of-The-Box Info-Mediaries,2,Online,Undergraduate,middle,27,71
87,Deliver Revolutionary E-Commerce,1,In-Person,Graduate,more,42,144
88,Drive Wireless Info-Mediaries,2,In-Person,Graduate,wife,46,134
89,Deliver Synergistic Applications,4,Hybrid,Undergraduate,mission,98,68
90,Monetize Dynamic Schemas,2,In-Person,Graduate,campaign,40,108
91,Innovate B2B Supply-Chains,4,Hybrid,Graduate,record,53,48
92,Reinvent Synergistic Communities,2,In-Person,Graduate,style,84,41
93,Benchmark Revolutionary Platforms,2,In-Person,Undergraduate,by,76,92
94,Incubate Granular Bandwidth,4,In-Person,Undergraduate,vote,20,126
95,Evolve One-To-One Niches,4,Hybrid,Graduate,board,48,128
96,Deploy Cross-Platform Architectures,2,Hybrid,Graduate,short,28,60
97,Seize Extensible Deliverables,2,In-Person,Graduate,including,41,80
98,Transform Extensible Users,3,Online,Graduate,far,78,103
99,Seize Compelling Solutions,2,Online,Graduate,almost,74,64
100,Redefine Best-Of-Breed Action-Items,3,Online,Undergraduate,care,19,122
101,Re-Intermediate Innovative Functionalities,4,Online,Graduate,why,98,19
102,Re-Contextualize Viral Bandwidth,3,In-Person,Undergraduate,act,81,81
103,Visualize Dot-Com Content,1,Hybrid,Undergraduate,something,87,112
104,Incentivize Distributed Users,2,Hybrid,Undergraduate,strong,11,60
105,Seize Virtual Partnerships,4,Online,Graduate,edge,77,94
106,Maximize 24/365 Content,3,Online,Undergraduate,somebody,69,8
107,Expedite Intuitive Web-Readiness,4,Hybrid,Undergraduate,through,44,51
108,Revolutionize Open-Source Web Services,1,Online,Graduate,college,41,125
109,Morph Out-Of-The-Box Convergence,5,Hybrid,Undergraduate,public,13,60
110,Target Dot-Com Systems,2,Hybrid,Undergraduate,themselves,81,40
111,Drive Turn-Key E-Business,5,In-Person,Undergraduate,strong,10,27
112,Envisioneer Killer Supply-Chains,4,In-Person,Undergraduate,fall,24,52
113,Re-Intermediate Bleeding-Edge E-Markets,1,In-Person,Undergraduate,else,26,30
114,Extend Customized Info-Mediaries,1,Hybrid,Graduate,participant,82,81
115,Implement Enterprise Relationships,1,Online,Undergraduate,control,99,145
116,Transform Enterprise Methodologies,1,Online,Undergraduate,staff,18,46
117,Expedite Value-Added Architectures,1,In-Person,Graduate,civil,90,23
118,Integrate Leading-Edge Roi,4,Online,Graduate,ask,63,60
119,Aggregate Innovative Partnerships,2,In-Person,Graduate,American,47,67
120,Harness Front-End Relationships,2,In-Person,Graduate,public,48,102
121,Enable Next-Generation Interfaces,2,In-Person,Undergraduate,with,45,83
122,Integrate Cutting-Edge Networks,4,In-Person,Graduate,friend,27,21
123,Enable Innovative E-Tailers,3,Hybrid,Undergraduate,close,65,142
124,Disintermediate Back-End Networks,5,Online,Graduate,from,27,4
125,Envisioneer World-Class Action-Items,2,Online,Graduate,upon,86,142
126,Engage Rich Vortals,3,In-Person,Undergraduate,close,45,101
127,Utilize 24/365 Web-Readiness,5,Online,Graduate,single,69,141
128,Architect Killer Portals,2,Hybrid,Graduate,site,39,143
129,Enable Magnetic E-Business,1,Hybrid,Undergraduate,better,72,57
130,Enable 24/7 Bandwidth,2,In-Person,Graduate,public,65,38
131,Extend Customized Content,3,Online,Graduate,authority,62,141
132,Deploy Interactive Technologies,4,In-Person,Graduate,coach,70,84
133,Synergize 24/7 Metrics,5,Hybrid,Graduate,attack,55,4
134,Evolve Extensible E-Markets,3,Online,Graduate,kind,66,31
135,Cultivate Robust E-Markets,3,In-Person,Graduate,parent,60,51
136,Enhance Customized Bandwidth,3,In-Person,Graduate,value,62,10
137,Grow Mission-Critical E-Markets,3,In-Person,Graduate,see,27,146
138,Utilize Holistic Interfaces,3,In-Person,Graduate,themselves,100,65
139,Leverage Real-Time Methodologies,4,Online,Undergraduate,player,39,127
140,Synthesize Open-Source Technologies,2,Online,Graduate,live,92,11
141,Seize 24/365 Convergence,1,Hybrid,Graduate,somebody,33,114
142,Engineer Transparent Info-Mediaries,3,Online,Undergraduate,think,75,101
143,Architect Web-Enabled Applications,2,Hybrid,Undergraduate,deep,73,82
144,Engineer B2C Eyeballs,2,Online,Undergraduate,born,27,122
145,Aggregate Viral Markets,1,In-Person,Undergraduate,everything,25,54
146,Scale Robust Bandwidth,3,Hybrid,Graduate,agency,19,89
147,Innovate Robust Methodologies,2,In-Person,Graduate,daughter,74,94
148,Grow Back-End Deliverables,5,Hybrid,Graduate,important,15,3
149,Leverage Cutting-Edge Synergies,4,Online,Graduate,doctor,72,130
150,Expedite Bleeding-Edge Users,2,Online,Graduate,couple,79,106
